text,date
Turkish Airlines carries 2.6 million passengers in August,2020-09-10 07:36:42Z
Turkish Airlines to establish tech subsidiary,2020-09-07 10:53:00Z
Turkish Airlines Accused Of Preventing Chareidim Trying To Get To Uman From Boarding Airplane,2020-09-09 03:15:00Z
Turkish Airlines to further boost Belgrade service,2020-09-07 08:30:00Z
"Turkish Airlines resumes flights to more locations, including Iran | Daily Sabah",2020-08-17 07:00:00Z
Turkey's flag carrier Turkish Airlines posts TL 2.23B net loss in Q2 | Daily Sabah,2020-08-14 07:00:00Z
Turkish Airlines’ Impressive Ramp Up Of German Operations,2020-08-20 09:00:33Z
"Turkish Airlines &amp; Pegasus: 2Q losses, but positioned for survival",2020-08-20 07:00:00Z
Turkish Airlines boosts EX-YU operations,2020-09-03 08:30:00Z
Turkey tells airlines to think about sacking foreigners first,2020-08-21 07:00:00Z
Redeeming United Miles For A Turkish Airlines Business Class Experience,2020-08-13 12:00:06Z
Turkish Airlines' net loss almost quadruples in H1,2020-08-14 07:00:00Z
"Turkish Airlines cuts wages to overcome pandemic, avoiding layoffs | Daily Sabah",2020-09-01 07:00:00Z
Turkish Airlines reneges on resuming flights to Iran,2020-09-01 15:30:10Z
How Turkish Airlines is Playing Games with Refunds for Passengers - Running with Miles,2020-08-24 07:00:00Z
Turkey Suspends Iran Flights Yet Again,2020-09-01 07:00:00Z
"Turkish Airlines to resume flights to five Iranian cities, including Tehran",2020-08-18 07:00:00Z
"Turkish Airlines, union agree to slash wages",2020-09-01 11:05:15Z
Turkish Airlines to operate more flights to Dhaka per week,2020-08-18 07:00:00Z
Turkey Tells Airlines to Consider Firing Expats First Amid Slump,2020-08-21 14:05:34Z
Uganda says to re-open airport and resume international flights on Oct. 1,2020-09-10 12:24:00Z
Turkey Considers Sacking Foreign Expat Pilots and Cabin Crew to Save Local Workers,2020-08-21 07:00:00Z
Turkey's COVID-19 response makes it delightful travel destination - Insider,2020-09-04 00:43:37Z
Winter of disconnect ahead for Europe's airlines | Analysis | Flight Global,2020-09-09 15:11:29Z
Roster Rundown: Real Madrid - News - Welcome to EUROLEAGUE BASKETBALL,2020-09-10 08:13:29Z
Thai Airways Opened a Pop-up Restaurant Serving Airplane Food for Grounded Travelers,2020-09-08 19:50:07Z
Turkish restarts flights,2020-09-03 14:15:32Z
Which Airlines Are Best Positioned To Survive COVID-19?,2020-09-09 02:01:13Z
WE'RE BACK PRESEASON TOUR opens Saturday in Kaunas!,2020-09-10 13:24:02Z
Anadolu Efes win EuroLeague social responsibility honor,2020-09-09 13:14:36Z
Turkey’s push to win over the Maghreb: The gateway to Africa,2020-09-04 16:23:16Z
The Race for the First Commercial Flights Between Israel and the UAE,2020-09-08 11:47:44Z
Turkey Wealth Fund merges six public insurers into two new cos,2020-09-09 09:29:00Z
Entebbe airport set to reopen on October 1,2020-09-09 12:55:29Z
Israir to launch Tel Aviv-Dubai flights in October,2020-09-09 15:33:45Z
Triple-double: three more airlines return in past three weeks at MIA,2020-09-09 06:30:47Z
EuroLeague TV presents subscription options for the 2020-21 season,2020-09-09 09:33:00Z
Minsk National Airport passenger traffic 8 times up in August over April,2020-09-10 09:04:00Z
Turkey's Borsa Istanbul down at closing,2020-09-08 15:40:58Z
